"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
A,127630,2091951829,1,196,2109
B,118671,2091955587,0,182,2443
B,118672,2091955758,1,182,1906
A,127631,2091960912,0,196,2513
A,127632,2091961096,1,196,2149
B,118673,2091964878,0,183,2499
B,118674,2091965052,1,180,1897
A,127633,2091970181,0,197,2429
A,127634,2091970369,1,194,2046
B,118675,2091974171,0,183,2492
B,118676,2091974344,1,180,1897
A,127635,2091979450,0,198,2429
A,127636,2091979636,1,198,2113
B,118677,2091983461,0,183,2508
B,118678,2091983634,1,180,1924
A,127637,2091988720,0,200,2499
A,127638,2091988910,1,198,2095
B,118679,2091992752,0,183,2470
B,118680,2091992925,1,180,1897
A,127639,2091998047,0,201,2488
A,127640,2091998239,1,198,2088
B,118681,2092002043,0,183,2551
B,118682,2092002216,1,181,1901
A,127641,2092007325,0,203,2443
A,127642,2092007517,1,200,2111
B,118683,2092011335,0,183,2499
B,118684,2092011508,1,181,1897
A,127643,2092016605,0,203,2504
A,127644,2092016796,1,203,2104
B,118685,2092020626,0,183,2497
B,118686,2092020798,1,182,1910
A,127645,2092025885,0,204,2341
A,127646,2092026077,1,204,2109
B,118687,2092029917,0,183,2418
B,118688,2092030089,1,181,1901
A,127647,2092035168,0,204,2461
A,127648,2092035360,1,205,2127
B,118689,2092039207,0,182,2456
B,118690,2092039379,1,181,1897
A,127649,2092044452,0,206,2504
A,127650,2092044647,1,205,2109
B,118691,2092048497,0,183,2504
B,118692,2092048670,1,180,1903
A,127651,2092053738,0,207,2504
A,127652,2092053934,1,207,2122
B,118693,2092057787,0,183,2492
B,118694,2092057960,1,181,1903
A,127653,2092063080,0,209,2470
A,127654,2092063277,1,209,2120
B,118695,2092067079,0,183,2499
B,118696,2092067252,1,180,1897
A,127655,2092072374,0,209,2411
A,127656,2092072572,1,210,2120
B,118697,2092076370,0,183,2483
B,118698,2092076543,1,180,1903
A,127657,2092081669,0,210,2472
A,127658,2092081868,1,211,2125
B,118699,2092085661,0,183,2488
B,118700,2092085835,1,180,1892
A,127659,2092090965,0,212,2497
A,127660,2092091165,1,212,2134
B,118701,2092094952,0,183,2504
B,118702,2092095123,1,182,1937
A,127661,2092100264,0,213,2348
A,127662,2092100468,1,210,2113
B,118703,2092104243,0,184,2494
B,118704,2092104418,1,180,1903
A,127663,2092109565,0,214,2497
A,127664,2092109768,1,213,2109
B,118705,2092113537,0,185,2492
B,118706,2092113711,1,183,1912
A,127665,2092118974,0,213,2447
A,127666,2092119176,1,212,2127
B,118707,2092122782,0,186,2499
B,118708,2092122958,1,183,1903
A,127667,2092128329,0,211,2465
A,127668,2092128531,1,207,2093
B,118709,2092132028,0,187,2443
B,118710,2092132204,1,185,1953
A,127669,2092137730,0,210,2461
A,127670,2092137928,1,210,2134
B,118711,2092141275,0,188,2499
B,118712,2092141450,1,189,1926
A,127671,2092147129,0,209,2368
A,127672,2092147327,1,208,2120
B,118713,2092150524,0,189,2494
B,118714,2092150701,1,189,1921
A,127673,2092156527,0,207,2458
A,127674,2092156724,1,206,2100
B,118715,2092159776,0,190,2443
B,118716,2092159955,1,189,1915
A,127675,2092165923,0,207,2510
A,127676,2092166117,1,208,2127
B,118717,2092169030,0,192,2506
B,118718,2092169213,1,188,1894
A,127677,2092175316,0,206,2499
A,127678,2092175513,1,202,2097
B,118719,2092178337,0,193,2494
B,118720,2092178520,1,191,1903
A,127679,2092184706,0,205,2310
A,127680,2092184902,1,202,2097
B,118721,2092187596,0,194,2467
B,118722,2092187780,1,192,1915
A,127681,2092194042,0,204,2562
A,127682,2092194237,1,199,2091
B,118723,2092196857,0,195,2490
B,118724,2092197043,1,191,1903
A,127683,2092203430,0,201,2492
A,127684,2092203618,1,201,2106
B,118725,2092206120,0,195,2528
B,118726,2092206305,1,194,1903
A,127685,2092212810,0,201,2454
A,127686,2092212999,1,201,2115
B,118727,2092215384,0,197,2463
B,118728,2092215573,1,193,1899
A,127687,2092222191,0,200,2452
A,127688,2092222379,1,200,2109
B,118729,2092224651,0,198,2499
B,118730,2092224838,1,197,1917
A,127689,2092231570,0,199,2463
A,127690,2092231757,1,199,2115
B,118731,2092233921,0,198,2508
B,118732,2092234108,1,199,1917
A,127691,2092240947,0,197,2452
A,127692,2092241133,1,197,2147
B,118733,2092243244,0,201,2452
B,118734,2092243436,1,197,1908
A,127693,2092250320,0,198,2558
A,127694,2092250504,1,197,2143
B,118735,2092252518,0,202,2472
B,118736,2092252711,1,198,1908
A,127695,2092259640,0,195,2483
A,127696,2092259823,1,195,2113
B,118737,2092261794,0,203,2400
B,118738,2092261985,1,202,1919
A,127697,2092269009,0,194,2508
A,127698,2092269192,1,193,2097
B,118739,2092271075,0,203,2531
B,118740,2092271270,1,200,1897
A,127699,2092278379,0,193,2341
A,127700,2092278560,1,192,2102
B,118741,2092280358,0,204,2456
B,118742,2092280552,1,203,1903
A,127701,2092287745,0,192,2476
A,127702,2092287924,1,193,2091
B,118743,2092289642,0,206,2506
B,118744,2092289838,1,203,1908
A,127703,2092297111,0,190,2438
A,127704,2092297288,1,192,2115
B,118745,2092298929,0,207,2434
B,118746,2092299126,1,204,1912
A,127705,2092306472,0,189,2422
A,127706,2092306646,1,193,2109
B,118747,2092308215,0,209,2492
B,118748,2092308416,1,204,1899
A,127707,2092315830,0,189,2522
A,127708,2092316007,1,188,2100
B,118749,2092317506,0,210,2501
B,118750,2092317708,1,206,1899
A,127709,2092325135,0,187,2465
A,127710,2092325311,1,186,2100
B,118751,2092326801,0,211,2504
B,118752,2092327003,1,207,1908
A,127711,2092334437,0,194,2476
A,127712,2092334619,1,178,2061
B,118753,2092336095,0,212,2504
B,118754,2092336298,1,209,1906
A,127713,2092343785,0,185,2510
A,127714,2092343959,1,184,2095
B,118755,2092345390,0,213,2454
B,118756,2092345593,1,211,1942
A,127715,2092353134,0,184,2343
A,127716,2092353304,1,186,2104
B,118757,2092354689,0,214,2458
B,118758,2092354891,1,213,1931
A,127717,2092362429,0,183,2456
A,127718,2092362601,1,183,2091
B,118759,2092363989,0,215,2348
B,118760,2092364194,1,213,1921
A,127719,2092371722,0,184,2339
A,127720,2092371892,1,186,2115
B,118761,2092373395,0,213,2375
B,118762,2092373598,1,210,1921
A,127721,2092381016,0,185,2339
A,127722,2092381186,1,187,2095
B,118763,2092382798,0,211,2440
B,118764,2092383001,1,208,1912
A,127723,2092390310,0,185,2598
A,127724,2092390483,1,184,2167
B,118765,2092392197,0,211,2440
B,118766,2092392398,1,209,1915
A,127725,2092399605,0,184,2443
A,127726,2092399776,1,185,2104
B,118767,2092401596,0,210,2501
B,118768,2092401797,1,206,1906
A,127727,2092408899,0,184,2483
A,127728,2092409071,1,184,2102
B,118769,2092410992,0,208,2492
B,118770,2092411190,1,207,1924
A,127729,2092418193,0,184,2458
A,127730,2092418365,1,184,2095
B,118771,2092420386,0,208,2454
B,118772,2092420584,1,205,1906
A,127731,2092427486,0,184,2461
A,127732,2092427658,1,184,2091
B,118773,2092429778,0,207,2479
B,118774,2092429974,1,205,1931
A,127733,2092436780,0,184,2476
A,127734,2092436952,1,183,2077
B,118775,2092439167,0,204,2386
B,118776,2092439363,1,201,1901
A,127735,2092446074,0,184,2470
A,127736,2092446245,1,184,2104
B,118777,2092448553,0,204,2497
B,118778,2092448748,1,200,1901
A,127737,2092455367,0,184,2458
A,127738,2092455540,1,183,2073
B,118779,2092457936,0,203,2499
B,118780,2092458129,1,201,1910
A,127739,2092464662,0,183,2404
A,127740,2092464834,1,184,2091
B,118781,2092467319,0,202,2494
B,118782,2092467511,1,199,1912
A,127741,2092473955,0,184,2461
A,127742,2092474126,1,185,2095
B,118783,2092476698,0,201,2346
B,118784,2092476890,1,197,1906
A,127743,2092483249,0,184,2463
A,127744,2092483422,1,183,2097
B,118785,2092486076,0,200,2510
B,118786,2092486266,1,197,1915
A,127745,2092492544,0,184,2402
A,127746,2092492717,1,183,2095
B,118787,2092495453,0,199,2395
