"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
A,1843,60704059,0,62,2472
A,1844,60704109,1,65,2032
B,1845,60754295,0,200,2564
B,1846,60754485,1,198,1980
A,1845,60769714,0,63,2510
A,1846,60769764,1,65,1996
B,1847,60817870,0,208,2490
B,1848,60818069,1,205,1953
A,1847,60835366,0,63,2533
A,1848,60835415,1,66,2032
B,1849,60881082,0,215,2555
B,1850,60881287,1,212,1955
A,1849,60901024,0,63,2341
A,1850,60901075,1,65,2025
B,1851,60950161,0,206,2558
B,1852,60950357,1,204,1953
A,1851,60966678,0,63,2535
A,1852,60966727,1,66,2023
B,1853,61018835,0,198,2555
B,1854,61019020,1,199,1971
A,1853,61032335,0,62,2519
A,1854,61032386,1,64,2016
B,1855,61087494,0,189,2571
B,1856,61087675,1,185,1942
A,1855,61097994,0,63,2479
A,1856,61098046,1,63,2016
B,1857,61155730,0,181,2546
B,1858,61155901,1,179,1955
A,1857,61163637,0,63,2517
A,1858,61163687,1,66,2012
B,1859,61223944,0,173,2504
B,1860,61224106,1,171,1951
A,1859,61229275,0,63,2314
A,1860,61229325,1,66,2023
B,1861,61291763,0,164,2555
B,1862,61291918,1,161,1933
A,1861,61294927,0,63,2501
A,1862,61294978,1,64,1951
B,1863,61359185,0,155,2537
B,1864,61359331,1,153,1931
A,1863,61360588,0,63,2515
A,1864,61360639,1,64,2030
A,1865,61426234,0,64,2535
A,1866,61426286,1,64,2023
B,1865,61426709,0,147,2542
B,1866,61426847,1,145,1924
A,1867,61491876,0,63,2553
A,1868,61491924,1,67,2028
B,1867,61494077,0,140,2522
B,1868,61494206,1,138,1926
A,1869,61557518,0,63,2485
A,1870,61557570,1,64,2025
B,1869,61561432,0,132,2501
B,1870,61561552,1,132,1928
A,1871,61623161,0,63,2386
A,1872,61623210,1,66,2032
B,1871,61628770,0,123,2425
B,1872,61628882,1,122,1919
A,1873,61688810,0,63,2564
A,1874,61688861,1,64,2032
B,1873,61695317,0,115,2562
B,1874,61695421,1,114,1919
A,1875,61754455,0,63,2578
A,1876,61754508,1,62,2005
B,1875,61761843,0,107,2555
B,1876,61761940,1,104,1883
A,1877,61820102,0,63,2540
A,1878,61820152,1,65,2018
B,1877,61828355,0,99,2546
B,1878,61828443,1,97,1888
A,1879,61885749,0,63,2576
A,1880,61885803,1,62,2000
B,1879,61894851,0,91,2488
B,1880,61894932,1,88,1874
A,1881,61951401,0,63,2540
A,1882,61951450,1,66,2030
B,1881,61960947,0,83,2395
B,1882,61961021,1,80,1867
A,1883,62017065,0,62,2519
A,1884,62017114,1,66,2030
B,1883,62027040,0,74,2537
B,1884,62027103,1,74,1856
A,1885,62082732,0,63,2404
A,1886,62082783,1,64,2018
B,1885,62093116,0,65,2522
B,1886,62093170,1,66,1865
A,1887,62148397,0,63,2555
A,1888,62148448,1,65,2046
B,1887,62158785,0,63,2533
B,1888,62158838,1,64,1840
A,1889,62214052,0,62,2519
A,1890,62214102,1,65,2064
B,1889,62224439,0,64,2391
B,1890,62224492,1,63,1849
A,1891,62279716,0,64,2623
A,1892,62279767,1,65,2000
B,1891,62290105,0,64,2544
B,1892,62290157,1,65,1849
A,1893,62345371,0,63,2517
A,1894,62345420,1,66,2073
B,1893,62355757,0,64,2488
B,1894,62355812,1,62,1831
A,1895,62411025,0,63,2479
A,1896,62411076,1,65,2050
B,1895,62421414,0,64,2429
B,1896,62421466,1,65,1847
A,1897,62476689,0,63,2508
A,1898,62476741,1,64,2030
B,1897,62487078,0,64,2542
B,1898,62487133,1,62,1834
A,1899,62542355,0,65,2637
A,1900,62542408,1,65,2032
B,1899,62552745,0,64,2540
B,1900,62552796,1,66,1849
A,1901,62608025,0,72,2542
A,1902,62608084,1,74,2041
B,1901,62618410,0,64,2497
B,1902,62618464,1,63,1834
A,1903,62673708,0,81,2461
A,1904,62673776,1,82,2059
B,1903,62684075,0,64,2492
B,1904,62684129,1,63,1822
A,1905,62739006,0,89,2542
A,1906,62739083,1,89,2066
B,1905,62749728,0,64,2540
B,1906,62749783,1,62,1822
A,1907,62804319,0,97,2519
A,1908,62804403,1,98,2086
B,1907,62815386,0,64,2535
B,1908,62815441,1,62,1806
A,1909,62869655,0,105,2524
A,1910,62869748,1,105,2093
B,1909,62881045,0,64,2454
B,1910,62881098,1,63,1840
A,1911,62934614,0,113,2510
A,1912,62934713,1,114,2093
B,1911,62946702,0,64,2510
B,1912,62946753,1,66,1847
A,1913,62999578,0,119,2517
A,1914,62999683,1,123,2104
B,1913,63012348,0,64,2513
B,1914,63012399,1,65,1849
A,1915,63064166,0,127,2533
A,1916,63064280,1,129,2118
B,1915,63077994,0,64,2422
B,1916,63078047,1,64,1843
A,1917,63128759,0,136,2567
A,1918,63128884,1,135,2109
B,1917,63143631,0,64,2542
B,1918,63143684,1,64,1876
A,1919,63192986,0,144,2470
A,1920,63193116,1,146,2131
B,1919,63209277,0,64,2546
B,1920,63209329,1,65,1856
A,1921,63257221,0,152,2564
A,1922,63257361,1,152,2125
B,1921,63274914,0,64,2544
B,1922,63274966,1,65,1854
A,1923,63321484,0,160,2607
A,1924,63321634,1,158,2127
B,1923,63340562,0,64,2506
B,1924,63340615,1,64,1856
A,1925,63385764,0,168,2513
A,1926,63385919,1,169,2165
B,1925,63406214,0,64,2519
B,1926,63406269,1,62,1809
A,1927,63449675,0,175,2531
A,1928,63449838,1,175,2167
B,1927,63471872,0,64,2517
B,1928,63471923,1,66,1858
A,1929,63513208,0,183,2549
A,1930,63513379,1,183,2158
B,1929,63537522,0,64,2531
B,1930,63537574,1,65,1854
A,1931,63576751,0,192,2467
A,1932,63576933,1,189,2127
B,1931,63603173,0,63,2404
B,1932,63603227,1,62,1829
A,1933,63640315,0,199,2519
A,1934,63640502,1,199,2176
B,1933,63668821,0,63,2537
B,1934,63668872,1,65,1852
A,1935,63703886,0,206,2465
A,1936,63704082,1,204,2154
B,1935,63734470,0,64,2501
B,1936,63734523,1,63,1836
A,1937,63767087,0,214,2341
A,1938,63767288,1,215,2179
B,1937,63800119,0,64,2533
B,1938,63800172,1,64,1863
A,1939,63835767,0,206,2533
A,1940,63835960,1,206,2167
B,1939,63865763,0,64,2528
B,1940,63865818,1,62,1827
A,1941,63904043,0,197,2517
A,1942,63904225,1,200,2161
B,1941,63931416,0,64,2422
B,1942,63931469,1,63,1840
A,1943,63972298,0,189,2553
A,1944,63972475,1,189,2149
B,1943,63997061,0,67,2488
B,1944,63997118,1,66,1838
A,1945,64040534,0,181,2546
A,1946,64040706,1,177,2125
B,1945,64062704,0,75,2535
B,1946,64062769,1,74,1861
A,1947,64108358,0,172,2549
A,1948,64108516,1,174,2125
B,1947,64127977,0,84,2476
B,1948,64128050,1,82,1838
A,1949,64176165,0,164,2564
A,1950,64176316,1,165,2145
B,1949,64193260,0,92,2542
B,1950,64193343,1,89,1881
A,1951,64243947,0,156,2510
A,1952,64244089,1,158,2118
B,1951,64258554,0,100,2546
B,1952,64258645,1,97,1888
A,1953,64311719,0,147,2474
A,1954,64311854,1,147,2122
B,1953,64323477,0,108,2551
B,1954,64323574,1,106,1906
A,1955,64379087,0,139,2515
A,1956,64379213,1,140,2111
B,1955,64388426,0,116,2551
B,1956,64388531,1,115,1915
A,1957,64446054,0,131,2558
A,1958,64446172,1,132,2109
B,1957,64453393,0,124,2535
B,1958,64453507,1,121,1915
A,1959,64513010,0,122,2528
A,1960,64513119,1,124,2102
B,1959,64517989,0,132,2397
B,1960,64518112,1,129,1921
A,1961,64579952,0,115,2513
A,1962,64580055,1,115,2097
B,1961,64582605,0,140,2438
B,1962,64582733,1,139,1928
A,1963,64646879,0,107,2526
A,1964,64646973,1,107,2066
B,1963,64647375,0,143,2598
B,1964,64647507,1,147,1935
B,1965,64711627,0,155,2531
B,1966,64711773,1,151,1919
A,1965,64713399,0,97,2531
A,1966,64713483,1,99,2082
B,1967,64775523,0,163,2393
B,1968,64775675,1,162,1940
A,1967,64779527,0,90,2504
A,1968,64779604,1,91,2073
B,1969,64839434,0,171,2594
B,1970,64839595,1,169,2039
A,1969,64845639,0,81,2528
A,1970,64845709,1,82,2050
B,1971,64903364,0,180,2567
B,1972,64903533,1,177,1958
A,1971,64911738,0,74,2621
A,1972,64911800,1,74,2030
B,1973,64967308,0,187,2560
B,1974,64967485,1,185,1955
A,1973,64977427,0,65,2591
A,1974,64977480,1,67,2025
B,1975,65031265,0,194,2555
B,1976,65031448,1,193,1964
A,1975,65043092,0,63,2479
A,1976,65043144,1,64,2016
B,1977,65094437,0,202,2434
B,1978,65094631,1,198,1949
A,1977,65108738,0,63,2510
A,1978,65108788,1,65,2018
B,1979,65157628,0,210,2553
B,1980,65157827,1,208,1969
A,1979,65174394,0,63,2497
A,1980,65174444,1,66,2023
B,1981,65222411,0,213,2472
B,1982,65222613,1,210,1962
A,1981,65240061,0,64,2555
A,1982,65240115,1,62,2009
B,1983,65291106,0,204,2558
B,1984,65291300,1,201,1953
A,1983,65305725,0,63,2504
A,1984,65305778,1,63,2007
B,1985,65359773,0,196,2452
B,1986,65359957,1,194,1964
A,1985,65371377,0,63,2553
A,1986,65371428,1,65,2025
B,1987,65428030,0,187,2560
B,1988,65428209,1,183,1942
A,1987,65437035,0,62,2492
A,1988,65437086,1,64,2030
B,1989,65496287,0,179,2555
B,1990,65496456,1,177,1949
A,1989,65502702,0,63,2506
A,1990,65502752,1,66,2032
B,1991,65564512,0,171,2535
B,1992,65564674,1,167,1940
A,1991,65568353,0,63,2447
A,1992,65568404,1,64,2030
B,1993,65632321,0,162,2526
B,1994,65632472,1,160,1937
A,1993,65633997,0,63,2458
A,1994,65634049,1,63,2023
A,1995,65699640,0,62,2508
A,1996,65699690,1,65,2028
B,1995,65700001,0,150,2650
B,1996,65700140,1,153,1942
A,1997,65765276,0,63,2504
A,1998,65765327,1,64,2014
B,1997,65767374,0,145,2549
B,1998,65767509,1,144,1924
A,1999,65830911,0,63,2558
A,2000,65830960,1,66,2052
B,1999,65834732,0,138,2549
B,2000,65834861,1,135,1915
A,2001,65896557,0,63,2553
A,2002,65896610,1,63,2009
B,2001,65901695,0,129,2546
B,2002,65901813,1,128,1931
A,2003,65962209,0,62,2553
A,2004,65962257,1,67,2028
B,2003,65968648,0,121,2429
B,2004,65968759,1,119,1915
A,2005,66027864,0,63,2508
A,2006,66027915,1,64,2016
B,2005,66035588,0,113,2531
B,2006,66035688,1,114,1931
A,2007,66093521,0,63,2524
A,2008,66093574,1,62,2003
B,2007,66102122,0,105,2506
B,2008,66102216,1,104,1915
A,2009,66159182,0,62,2515
A,2010,66159230,1,67,2025
B,2009,66168645,0,97,2404
B,2010,66168731,1,95,1885
A,2011,66224836,0,62,2499
A,2012,66224888,1,63,2000
B,2011,66235144,0,89,2540
B,2012,66235221,1,88,1883
A,2013,66290491,0,63,2368
A,2014,66290543,1,64,2014
B,2013,66301625,0,81,2485
B,2014,66301693,1,81,1865
A,2015,66356144,0,63,2467
A,2016,66356195,1,64,2030
B,2015,66367701,0,73,2436
B,2016,66367763,1,70,1856
A,2017,66421791,0,63,2452
A,2018,66421839,1,67,2023
B,2017,66433364,0,64,2549
B,2018,66433415,1,66,1849
A,2019,66487443,0,63,2440
A,2020,66487494,1,64,2009
B,2019,66499017,0,64,2555
B,2020,66499072,1,62,1829
A,2021,66553101,0,63,2544
A,2022,66553152,1,64,2028
B,2021,66564675,0,64,2411
B,2022,66564728,1,64,1820
A,2023,66618763,0,62,2508
A,2024,66618812,1,66,2025
B,2023,66630339,0,63,2551
B,2024,66630392,1,63,1845
A,2025,66684429,0,63,2411
A,2026,66684479,1,66,2032
B,2025,66696004,0,64,2458
B,2026,66696058,1,63,1840
A,2027,66750079,0,63,2528
A,2028,66750132,1,63,2007
B,2027,66761653,0,64,2452
B,2028,66761706,1,63,1829
A,2029,66815733,0,63,2497
A,2030,66815782,1,66,1989
B,2029,66827307,0,64,2537
B,2030,66827362,1,62,1843
A,2031,66881394,0,70,2508
A,2032,66881452,1,72,2041
B,2031,66892969,0,64,2542
B,2032,66893020,1,66,1849
A,2033,66947066,0,79,2549
A,2034,66947132,1,80,2070
B,2033,66958628,0,64,2535
B,2034,66958681,1,64,1838
A,2035,67012760,0,87,2409
A,2036,67012836,1,86,2052
B,2035,67024291,0,64,2540
B,2036,67024343,1,65,1822
A,2037,67078072,0,95,2614
A,2038,67078151,1,99,2050
B,2037,67089948,0,64,2517
B,2038,67090001,1,64,1838
A,2039,67143403,0,102,2447
A,2040,67143495,1,101,2070
B,2039,67155608,0,64,2533
B,2040,67155659,1,66,1852
A,2041,67208362,0,111,2508
A,2042,67208460,1,112,2095
B,2041,67221271,0,64,2537
B,2042,67221324,1,64,1843
A,2043,67273335,0,119,2540
A,2044,67273441,1,120,2106
B,2043,67286931,0,64,2474
B,2044,67286984,1,63,1843
A,2045,67338330,0,126,2449
A,2046,67338444,1,126,2113
B,2045,67352598,0,64,2341
B,2046,67352651,1,64,1838
A,2047,67402952,0,134,2379
A,2048,67403074,1,134,2109
B,2047,67418270,0,64,2542
B,2048,67418322,1,65,1852
A,2049,67467198,0,142,2501
A,2050,67467327,1,143,2136
B,2049,67483934,0,64,2542
B,2050,67483987,1,64,1829
A,2051,67531452,0,150,2422
A,2052,67531590,1,150,2122
B,2051,67549595,0,64,2485
B,2052,67549647,1,65,1852
A,2053,67595724,0,158,2513
A,2054,67595869,1,159,2131
B,2053,67615257,0,64,2522
B,2054,67615312,1,62,1836
A,2055,67660010,0,166,2465
A,2056,67660166,1,164,2120
B,2055,67680917,0,64,2519
B,2056,67680971,1,63,1829
A,2057,67723925,0,173,2533
A,2058,67724086,1,174,2149
B,2057,67746583,0,64,2535
B,2058,67746636,1,63,1840
A,2059,67787859,0,181,2506
A,2060,67788028,1,181,2154
B,2059,67812255,0,64,2458
B,2060,67812308,1,64,1847
A,2061,67851422,0,189,2492
A,2062,67851600,1,188,2149
B,2061,67877925,0,64,2540
B,2062,67877978,1,64,1852
A,2063,67914990,0,197,2513
A,2064,67915173,1,199,2165
B,2063,67943581,0,65,2551
B,2064,67943635,1,64,1843
A,2065,67978570,0,205,2501
A,2066,67978760,1,208,2185
B,2065,68009238,0,64,2537
B,2066,68009290,1,65,1838
A,2067,68042161,0,212,2542
A,2068,68042360,1,213,2172
B,2067,68074892,0,64,2544
B,2068,68074945,1,64,1843
A,2069,68109288,0,207,2346
A,2070,68109483,1,207,2156
B,2069,68140553,0,64,2533
B,2070,68140607,1,62,1829
A,2071,68177575,0,199,2567
A,2072,68177760,1,201,2163
B,2071,68206203,0,64,2535
B,2072,68206254,1,66,1845
A,2073,68245835,0,192,2650
A,2074,68246013,1,193,2149
B,2073,68271853,0,68,2537
B,2074,68271910,1,66,1849
A,2075,68314089,0,182,2560
A,2076,68314257,1,184,2158
B,2075,68337123,0,75,2513
B,2076,68337187,1,75,1863
A,2077,68381935,0,174,2646
A,2078,68382097,1,174,2154
B,2077,68402415,0,84,2540
B,2078,68402487,1,84,1888
A,2079,68449772,0,166,2551
A,2080,68449927,1,166,2129
B,2079,68467729,0,92,2519
B,2080,68467810,1,91,1897
A,2081,68517593,0,158,2596
A,2082,68517740,1,157,2134
B,2081,68532661,0,100,2564
B,2082,68532751,1,98,1888
A,2083,68585395,0,149,2537
A,2084,68585531,1,150,2118
B,2083,68597611,0,108,2549
B,2084,68597709,1,105,1894
A,2085,68652780,0,141,2357
A,2086,68652910,1,140,2118
B,2085,68662568,0,116,2506
B,2086,68662675,1,112,1901
A,2087,68720151,0,133,2501
A,2088,68720272,1,133,2104
B,2087,68727152,0,124,2551
B,2088,68727267,1,121,1906
A,2089,68787112,0,125,2515
A,2090,68787225,1,125,2109
B,2089,68791748,0,131,2454
B,2090,68791869,1,130,1924
A,2091,68854055,0,117,2519
A,2092,68854157,1,120,2095
B,2091,68856361,0,140,2553
B,2092,68856491,1,137,1924
A,2093,68920986,0,108,2535
A,2094,68921081,1,108,2088
B,2093,68921525,0,153,2510
B,2094,68921666,1,142,1946
B,2095,68985769,0,155,2467
B,2096,68985912,1,154,1951
A,2095,68987495,0,100,2596
A,2096,68987583,1,100,2073
B,2097,69050036,0,163,2546
B,2098,69050188,1,162,1946
A,2097,69053607,0,92,2497
A,2098,69053686,1,93,2066
B,2099,69113931,0,171,2418
B,2100,69114093,1,167,1942
A,2099,69119707,0,83,2411
A,2100,69119778,1,85,2061
B,2101,69177848,0,179,2551
B,2102,69178014,1,179,1969
A,2101,69185797,0,76,2519
A,2102,69185863,1,74,2039
B,2103,69241778,0,187,2562
B,2104,69241952,1,187,1971
A,2103,69251865,0,67,2513
A,2104,69251918,1,70,2028
B,2105,69305330,0,194,2537
B,2106,69305513,1,193,1964
A,2105,69317525,0,63,2485
A,2106,69317576,1,65,2014
B,2107,69368903,0,202,2549
B,2108,69369095,1,200,1960
A,2107,69383182,0,63,2488
A,2108,69383231,1,66,2032
B,2109,69432098,0,210,2560
B,2110,69432299,1,206,1958
A,2109,69448839,0,63,2488
A,2110,69448890,1,65,2021
B,2111,69496881,0,212,2508
B,2112,69497085,1,208,1958
A,2111,69514506,0,63,2562
A,2112,69514557,1,65,2032
B,2113,69565576,0,204,2476
B,2114,69565771,1,201,1953
A,2113,69580174,0,63,2546
A,2114,69580224,1,66,2028
B,2115,69634252,0,195,2461
B,2116,69634439,1,191,1953
A,2115,69645836,0,63,2499
A,2116,69645887,1,64,2052
B,2117,69702523,0,187,2558
B,2118,69702702,1,183,1944
A,2117,69711503,0,63,2544
A,2118,69711554,1,65,2023
B,2119,69770788,0,179,2497
B,2120,69770958,1,175,1940
A,2119,69777182,0,63,2513
A,2120,69777232,1,65,2028
B,2121,69839041,0,170,2528
B,2122,69839198,1,171,1955
A,2121,69842861,0,62,2531
A,2122,69842913,1,63,2009
B,2123,69906874,0,161,2551
B,2124,69907025,1,160,1946
A,2123,69908529,0,63,2562
A,2124,69908580,1,65,2030
A,2125,69974191,0,63,2501
A,2126,69974244,1,62,2007
B,2125,69974682,0,154,2519
B,2126,69974825,1,152,1915
A,2127,70039849,0,63,2488
A,2128,70039900,1,65,2039
B,2127,70042081,0,146,2542
B,2128,70042216,1,144,1919
A,2129,70105496,0,63,2522
A,2130,70105545,1,67,1987
B,2129,70109451,0,137,2458
B,2130,70109578,1,134,1915
A,2131,70171147,0,63,2483
A,2132,70171198,1,65,2077
B,2131,70176417,0,129,2560
B,2132,70176537,1,126,1883
A,2133,70236795,0,63,2490
A,2134,70236847,1,64,2018
B,2133,70243366,0,121,2393
B,2134,70243475,1,120,1917
A,2135,70302446,0,63,2404
A,2136,70302497,1,64,2023
B,2135,70310301,0,113,2553
B,2136,70310402,1,112,1915
A,2137,70368102,0,63,2379
A,2138,70368155,1,62,2021
B,2137,70376833,0,105,2506
B,2138,70376927,1,103,1892
A,2139,70433752,0,62,2508
A,2140,70433800,1,67,2023
B,2139,70443344,0,97,2519
B,2140,70443428,1,98,1901
A,2141,70499400,0,63,2476
A,2142,70499448,1,67,2018
B,2141,70509840,0,88,2515
B,2142,70509919,1,86,1867
A,2143,70565052,0,63,2479
A,2144,70565103,1,64,2016
B,2143,70576320,0,80,2456
B,2144,70576388,1,79,1881
A,2145,70630706,0,63,2519
A,2146,70630759,1,62,1971
B,2145,70642004,0,71,2542
B,2146,70642064,1,71,1856
A,2147,70696356,0,63,2400
A,2148,70696406,1,66,2030
B,2147,70707667,0,64,2540
B,2148,70707720,1,64,1838
A,2149,70762011,0,62,2504
A,2150,70762061,1,65,2032
B,2149,70773326,0,63,2522
B,2150,70773380,1,62,1831
A,2151,70827673,0,63,2499
A,2152,70827726,1,63,2021
B,2151,70838986,0,64,2540
B,2152,70839038,1,64,1845
A,2153,70893338,0,63,2555
A,2154,70893390,1,64,2023
B,2153,70904652,0,64,2544
B,2154,70904704,1,65,1847
A,2155,70959004,0,63,2506
A,2156,70959057,1,62,1982
B,2155,70970318,0,64,2533
B,2156,70970371,1,64,1829
A,2157,71024671,0,62,2476
A,2158,71024719,1,67,2030
B,2157,71035983,0,64,2537
B,2158,71036038,1,62,1838
A,2159,71090325,0,66,2573
A,2160,71090379,1,67,2039
B,2159,71101639,0,64,2325
B,2160,71101691,1,65,1836
A,2161,71155987,0,75,2467
A,2162,71156049,1,76,2050
B,2161,71167294,0,64,2528
B,2162,71167348,1,63,1829
A,2163,71221676,0,83,2569
A,2164,71221744,1,86,2068
B,2163,71232962,0,64,2494
B,2164,71233016,1,63,1865
A,2165,71286991,0,91,2492
A,2166,71287068,1,93,2073
B,2165,71298631,0,64,2650
B,2166,71298685,1,63,1928
A,2167,71352333,0,99,2485
A,2168,71352420,1,99,2077
B,2167,71364309,0,64,2452
B,2168,71364361,1,65,1788
A,2169,71417672,0,107,2364
A,2170,71417767,1,107,2097
B,2169,71429965,0,64,1908
B,2170,71430023,1,60,1405
A,2171,71482632,0,115,2504
A,2172,71482737,1,113,2077
B,2171,71495625,0,64,2564
B,2172,71495679,1,63,1845
A,2173,71547617,0,123,2515
A,2174,71547727,1,124,2111
B,2173,71561287,0,64,2537
B,2174,71561338,1,66,1861
A,2175,71612613,0,131,2546
A,2176,71612731,1,132,2106
B,2175,71626946,0,64,2425
B,2176,71626999,1,64,1845
A,2177,71677231,0,138,2549
A,2178,71677355,1,140,2070
B,2177,71692604,0,64,2562
B,2178,71692657,1,64,1849
A,2179,71741485,0,145,2422
A,2180,71741616,1,149,2127
B,2179,71758271,0,64,2558
B,2180,71758324,1,64,1845
A,2181,71805751,0,154,2528
A,2182,71805895,1,152,2122
B,2181,71823936,0,64,2564
B,2182,71823988,1,65,1861
A,2183,71870034,0,162,2533
A,2184,71870183,1,163,2154
B,2183,71889601,0,64,2542
B,2184,71889654,1,64,1861
A,2185,71933932,0,170,2445
A,2186,71934089,1,171,2138
B,2185,71955257,0,64,2549
B,2186,71955312,1,62,1831
A,2187,71997854,0,178,2537
A,2188,71998020,1,179,2136
B,2187,72020920,0,64,2526
B,2188,72020973,1,64,1843
A,2189,72061792,0,186,2535
A,2190,72061965,1,186,2125
B,2189,72086583,0,64,2544
B,2190,72086637,1,63,1843
A,2191,72125353,0,193,2540
A,2192,72125534,1,193,2167
B,2191,72152244,0,64,2492
B,2192,72152297,1,64,1840
A,2193,72188924,0,201,2567
A,2194,72189116,1,198,2140
B,2193,72217902,0,64,2492
B,2194,72217955,1,64,1836
A,2195,72252519,0,209,2490
A,2196,72252717,1,208,2145
B,2195,72283570,0,64,2540
B,2196,72283624,1,62,1845
A,2197,72317301,0,211,2542
A,2198,72317499,1,212,2167
B,2197,72349233,0,64,2549
B,2198,72349286,1,64,1834
A,2199,72385989,0,202,2522
A,2200,72386180,1,203,2172
B,2199,72414889,0,64,2551
B,2200,72414944,1,62,1838
A,2201,72454664,0,195,2564
A,2202,72454844,1,198,2174
B,2201,72480552,0,65,2546
B,2202,72480607,1,64,1838
A,2203,72523316,0,186,2519
A,2204,72523488,1,188,2158
B,2203,72545820,0,73,2402
B,2204,72545882,1,73,1865
A,2205,72591567,0,177,2528
A,2206,72591735,1,176,2120
B,2205,72611114,0,81,2551
B,2206,72611184,1,81,1872
A,2207,72659409,0,170,2533
A,2208,72659567,1,170,2147
B,2207,72676412,0,90,2542
B,2208,72676489,1,91,1921
A,2209,72727236,0,160,2400
A,2210,72727385,1,161,2111
B,2209,72741348,0,98,2465
B,2210,72741435,1,97,1915
A,2211,72794668,0,153,2576
A,2212,72794808,1,154,2125
B,2211,72806308,0,106,2526
B,2212,72806402,1,105,1917
A,2213,72862080,0,145,2524
A,2214,72862213,1,145,2122
B,2213,72871280,0,114,2659
B,2214,72871382,1,114,2021
A,2215,72929472,0,137,2515
A,2216,72929597,1,137,2097
B,2215,72936263,0,122,2562
B,2216,72936374,1,121,1917
A,2217,72996846,0,129,2526
A,2218,72996961,1,131,2115
B,2217,73000870,0,130,2558
B,2218,73000991,1,127,1906
A,2219,73064196,0,120,2481
A,2220,73064304,1,119,2097
B,2219,73065486,0,138,2555
B,2220,73065612,1,137,1935
B,2221,73130116,0,146,2544
B,2222,73130251,1,145,1937
A,2221,73130745,0,112,2513
A,2222,73130842,1,115,2088
B,2223,73194385,0,154,2567
B,2224,73194527,1,153,1951
A,2223,73197291,0,104,2528
A,2224,73197384,1,103,2086
B,2225,73258669,0,161,2555
B,2226,73258819,1,160,1928
A,2225,73263822,0,96,2537
A,2226,73263905,1,97,2079
B,2227,73322585,0,169,2549
B,2228,73322744,1,167,1958
A,2227,73330345,0,88,2506
A,2228,73330420,1,89,2059
B,2229,73386514,0,177,2524
B,2230,73386681,1,175,1944
A,2229,73396459,0,80,2587
A,2230,73396526,1,81,2037
B,2231,73450459,0,185,2533
B,2232,73450635,1,182,1937
A,2231,73462556,0,71,2407
A,2232,73462615,1,73,2041
B,2233,73514032,0,193,2546
B,2234,73514216,1,189,1951
A,2233,73528641,0,62,2524
A,2234,73528692,1,64,2009
B,2235,73577622,0,200,2368
B,2236,73577812,1,198,1946
A,2235,73594317,0,63,2407
A,2236,73594368,1,65,2023
B,2237,73640830,0,208,2542
B,2238,73641028,1,206,1962
A,2237,73659991,0,63,2549
A,2238,73660042,1,64,2018
B,2239,73704066,0,215,2497
B,2240,73704270,1,212,1964
A,2239,73725674,0,63,2528
A,2240,73725726,1,63,2014
B,2241,73772774,0,206,2463
B,2242,73772972,1,202,1942
A,2241,73791349,0,63,2533
A,2242,73791400,1,64,2025
B,2243,73841469,0,198,2546
B,2244,73841657,1,196,1951
A,2243,73857025,0,63,2407
A,2244,73857075,1,65,2021
B,2245,73909747,0,189,2549
B,2246,73909924,1,189,2003
A,2245,73922693,0,62,2474
A,2246,73922741,1,67,2023
B,2247,73978021,0,181,2564
B,2248,73978191,1,180,1958
A,2247,73988377,0,63,2357
A,2248,73988427,1,65,2030
B,2249,74046284,0,173,2533
B,2250,74046448,1,170,1940
A,2249,74054063,0,63,2544
A,2250,74054114,1,65,2028
B,2251,74114140,0,164,2551
B,2252,74114293,1,163,1944
A,2251,74119748,0,63,2522
A,2252,74119798,1,66,2030
B,2253,74181981,0,156,2558
B,2254,74182127,1,154,1937
A,2253,74185438,0,63,2510
A,2254,74185489,1,64,2023
B,2255,74249400,0,148,2531
B,2256,74249539,1,145,1917
A,2255,74251111,0,63,2605
A,2256,74251163,1,64,2009
A,2257,74316783,0,64,2508
A,2258,74316834,1,65,2028
B,2257,74317175,0,139,2555
B,2258,74317305,1,136,1908
A,2259,74382454,0,62,2513
A,2260,74382502,1,67,2030
B,2259,74384165,0,131,2370
B,2260,74384284,1,131,1924
A,2261,74448126,0,63,2510
A,2262,74448176,1,65,2018
B,2261,74451142,0,123,2537
B,2262,74451252,1,123,1933
A,2263,74513802,0,63,2510
A,2264,74513851,1,66,2023
B,2263,74518105,0,115,2555
B,2264,74518211,1,112,1899
A,2265,74579469,0,63,2476
A,2266,74579520,1,64,2032
B,2265,74584655,0,107,2407
B,2266,74584748,1,108,1888
A,2267,74645140,0,63,2476
A,2268,74645190,1,65,2028
B,2267,74651189,0,99,2540
B,2268,74651277,1,97,1892
A,2269,74710790,0,63,2497
A,2270,74710840,1,65,2023
B,2269,74717687,0,90,2555
B,2270,74717764,1,92,1892
A,2271,74776444,0,63,2420
A,2272,74776498,1,62,2005
B,2271,74784177,0,83,2567
B,2272,74784249,1,82,1870
A,2273,74842115,0,63,2492
A,2274,74842164,1,66,2046
B,2273,74849885,0,73,2551
B,2274,74849947,1,73,1872
A,2275,74907790,0,63,2434
A,2276,74907842,1,64,2014
B,2275,74915577,0,65,2440
B,2276,74915631,1,65,1845
A,2277,74973456,0,63,2481
A,2278,74973505,1,66,2028
B,2277,74981245,0,64,2551
B,2278,74981296,1,66,1849
A,2279,75039130,0,63,2522
A,2280,75039179,1,66,2086
