"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
B,94,3144794,1,197,1953
A,95,3207004,0,209,2472
A,96,3207203,1,206,2149
B,95,3210524,0,199,2560
B,96,3210713,1,197,1973
A,97,3271776,0,212,2573
A,98,3271975,1,211,2170
B,97,3275276,0,203,2445
B,98,3275468,1,201,1967
B,99,3338873,0,211,2558
B,100,3339073,1,210,1971
A,99,3340469,0,203,2400
A,100,3340658,1,205,2167
B,101,3404435,0,211,2551
B,102,3404636,1,208,1967
A,101,3407579,0,201,2515
A,102,3407768,1,199,2194
B,103,3473110,0,202,2549
B,104,3473302,1,200,1960
A,103,3473873,0,200,2564
A,104,3474063,1,198,2145
A,105,3537845,0,206,2546
A,106,3538040,1,205,2170
B,105,3539429,0,201,2569
B,106,3539621,1,198,1953
A,107,3601064,0,214,2413
A,108,3601264,1,216,2172
B,107,3605370,0,203,2551
B,108,3605562,1,200,1962
B,109,3668566,0,210,2513
B,110,3668766,1,208,1969
A,109,3669754,0,206,2499
A,110,3669947,1,207,2161
B,111,3733337,0,212,2549
B,112,3733539,1,210,1971
A,111,3737253,0,202,2573
A,112,3737443,1,202,2174
B,113,3802010,0,203,2569
B,114,3802203,1,202,1958
A,113,3803174,0,202,2501
A,114,3803363,1,203,2158
A,115,3866753,0,209,2474
A,116,3866953,1,206,2154
B,115,3868326,0,203,2504
B,116,3868520,1,199,1960
A,117,3931526,0,211,2443
A,118,3931722,1,214,2179
B,117,3933475,0,207,2560
B,118,3933672,1,204,1962
B,119,3996678,0,214,2555
B,120,3996882,1,212,1964
A,119,4000206,0,204,2596
A,120,4000397,1,205,2172
B,121,4065356,0,208,2420
B,122,4065551,1,207,1976
A,121,4066132,0,204,2515
A,122,4066323,1,205,2161
A,123,4130500,0,209,2537
A,124,4130696,1,210,2156
B,123,4132072,0,205,2562
B,124,4132264,1,205,1982
A,125,4195263,0,211,2465
A,126,4195462,1,211,2172
B,125,4196825,0,209,2506
B,126,4197025,1,205,1949
B,127,4260825,0,212,2492
B,128,4261029,1,209,1955
A,127,4263174,0,206,2528
A,128,4263366,1,208,2170
A,129,4328729,0,208,2463
A,130,4328924,1,209,2172
B,129,4329511,0,207,2551
B,130,4329707,1,206,1976
A,131,4392723,0,212,2528
A,132,4392924,1,211,2158
B,131,4394672,0,210,2456
B,132,4394870,1,210,1978
B,133,4459448,0,212,2551
B,134,4459650,1,210,1962
A,133,4460239,0,208,2580
A,134,4460435,1,208,2172
A,135,4524618,0,212,2652
A,136,4524817,1,213,2181
B,135,4526566,0,209,2434
B,136,4526763,1,209,1982
B,137,4590563,0,214,2549
B,138,4590766,1,213,1985
A,137,4591357,0,210,2456
A,138,4591554,1,211,2176
A,139,4655744,0,213,2526
A,140,4655945,1,213,2197
B,139,4656911,0,213,2546
B,140,4657112,1,212,1978
A,141,4721319,0,214,2476
A,142,4721520,1,215,2176
B,141,4722093,0,215,2542
B,142,4722299,1,211,1955
A,143,4787284,0,222,2535
A,144,4787493,1,223,2176
B,143,4788058,0,223,2488
B,144,4788271,1,221,1982
A,145,4851316,0,230,2407
A,146,4851535,1,229,2183
B,145,4857168,0,231,2551
B,146,4857389,1,229,1978
A,147,4917313,0,238,2522
A,148,4917537,1,240,2170
B,147,4923166,0,239,2553
B,148,4923394,1,237,1982
A,149,4983325,0,246,2364
A,150,4983557,1,248,2194
B,149,4989178,0,247,2553
B,150,4989413,1,247,1991
A,151,5049356,0,254,2504
A,152,5049597,1,255,2197
B,151,5055209,0,255,2553
B,152,5055452,1,255,1998
A,153,5115395,0,262,2481
A,154,5115646,1,261,2192
B,153,5121248,0,263,2591
B,154,5121503,1,258,1978
A,155,5186917,0,212,2429
A,156,5187114,1,215,2172
B,155,5192768,0,213,2560
B,156,5192970,1,212,1971
A,157,5255597,0,204,2467
A,158,5255786,1,207,2163
B,157,5261449,0,205,2564
